id,project_id,name,role
108,108,"Tay, Emmanuel Mensah Kormla University of Agder ORCID https://orcid.org/0000-0003-0645-8218",AUTHOR
109,109,"Tay, Emmanuel Mensah Kormla University of Agder ORCID https://orcid.org/0000-0003-0645-8218",AUTHOR
110,110,"Tay, Emmanuel Mensah Kormla University of Agder ORCID https://orcid.org/0000-0003-0645-8218",AUTHOR
111,111,"Tay, Emmanuel Mensah Kormla University of Agder ORCID https://orcid.org/0000-0003-0645-8218",AUTHOR
112,112,"Tay, Emmanuel Mensah Kormla University of Agder ORCID https://orcid.org/0000-0003-0645-8218",AUTHOR
113,113,"Tay, Emmanuel Mensah Kormla University of Agder ORCID https://orcid.org/0000-0003-0645-8218",AUTHOR
114,114,"Bonsaksen, Tore Inland Norway University of Applied Sciences ORCID 0000-0001-6315-1111",AUTHOR
115,115,"Bonsaksen, Tore Inland Norway University of Applied Sciences ORCID 0000-0001-6315-1111",AUTHOR
116,116,Aurvoll Cecilie University of South-Eastern Norway,AUTHOR
117,117,Aurvoll Cecilie University of South-Eastern Norway,AUTHOR
118,118,"Ljungblad, Linda Wike https://ror.org/05ecg5h20 ORCID https://orcid.org/0000-0003-4026-2622",AUTHOR
119,119,"Ljungblad, Linda Wike https://ror.org/05ecg5h20 ORCID https://orcid.org/0000-0003-4026-2622",AUTHOR
120,120,"Kolstø, Stein Dankert University of Bergen ORCID 0000-0003-3131-0530",AUTHOR
121,121,"Kolstø, Stein Dankert University of Bergen ORCID 0000-0003-3131-0530",AUTHOR
122,122,"Kolstø, Stein Dankert University of Bergen ORCID 0000-0003-3131-0530",AUTHOR
123,123,"Kolstø, Stein Dankert University of Bergen ORCID 0000-0003-3131-0530",AUTHOR
124,124,"Kolstø, Stein Dankert University of Bergen ORCID 0000-0003-3131-0530",AUTHOR
125,125,"Kolstø, Stein Dankert University of Bergen ORCID 0000-0003-3131-0530",AUTHOR
126,126,"Kolstø, Stein Dankert University of Bergen ORCID 0000-0003-3131-0530",AUTHOR
127,127,"Kolstø, Stein Dankert University of Bergen ORCID 0000-0003-3131-0530",AUTHOR
128,128,"Kolstø, Stein Dankert University of Bergen ORCID 0000-0003-3131-0530",AUTHOR
129,129,"Kolstø, Stein Dankert University of Bergen ORCID 0000-0003-3131-0530",AUTHOR
130,130,"Låg, Torstein UiT The Arctic University of Norway ORCID 0000-0002-1325-5235 Sæle, Rannveig Grøm UiT The Arctic University of Norway ORCID 0000-0003-0834-5532",AUTHOR
131,131,"Låg, Torstein UiT The Arctic University of Norway ORCID 0000-0002-1325-5235 Sæle, Rannveig Grøm UiT The Arctic University of Norway ORCID 0000-0003-0834-5532",AUTHOR
132,132,"Låg, Torstein UiT The Arctic University of Norway ORCID 0000-0002-1325-5235 Sæle, Rannveig Grøm UiT The Arctic University of Norway ORCID 0000-0003-0834-5532",AUTHOR
133,133,"Låg, Torstein UiT The Arctic University of Norway ORCID 0000-0002-1325-5235 Sæle, Rannveig Grøm UiT The Arctic University of Norway ORCID 0000-0003-0834-5532",AUTHOR
134,134,"Låg, Torstein UiT The Arctic University of Norway ORCID 0000-0002-1325-5235 Sæle, Rannveig Grøm UiT The Arctic University of Norway ORCID 0000-0003-0834-5532",AUTHOR
135,135,"Gabriel, Ute NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Kim, Jonathan NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Taraldsen, Jonette NTNU - Norwegian University of Science and Technology ORCID 0009-0000-0859-7153",AUTHOR
136,136,"Gabriel, Ute NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Kim, Jonathan NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Taraldsen, Jonette NTNU - Norwegian University of Science and Technology ORCID 0009-0000-0859-7153",AUTHOR
137,137,"Gabriel, Ute NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Kim, Jonathan NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Taraldsen, Jonette NTNU - Norwegian University of Science and Technology ORCID 0009-0000-0859-7153",AUTHOR
