id,project_id,license
347,600,CC0 1.0
348,601,CC0 1.0
349,602,CC0 1.0
350,603,CC0 1.0
351,604,CC0 1.0
352,605,CC0 1.0
353,606,CC BY 4.0
354,607,CC BY 4.0
355,608,CC BY 4.0
356,609,CC BY 4.0
357,610,CC BY 4.0
358,611,CC BY 4.0
359,612,CC BY 4.0
360,613,CC BY 4.0
361,614,CC BY 4.0
362,615,CC BY 4.0
363,616,CC BY 4.0
364,617,CC BY 4.0
365,618,CC BY 4.0
366,619,CC BY 4.0
367,620,CC BY 4.0
368,621,CC BY 4.0
369,622,CC BY 4.0
370,623,CC BY 4.0
371,624,CC BY 4.0
372,625,CC BY 4.0
373,626,CC BY 4.0
374,627,CC BY 4.0
375,628,CC BY 4.0
376,629,CC BY 4.0
377,630,CC BY 4.0
378,631,CC BY 4.0
379,632,CC BY 4.0
380,633,CC BY 4.0
381,634,CC BY 4.0
382,635,CC BY 4.0
383,636,CC BY 4.0
384,637,CC BY 4.0
385,638,CC BY 4.0
386,639,CC BY 4.0
387,640,CC BY 4.0
388,641,CC BY 4.0
389,642,CC BY 4.0
390,643,CC BY 4.0
391,644,CC BY 4.0
392,645,CC BY 4.0
393,646,CC BY 4.0
394,647,CC BY 4.0
395,648,CC BY 4.0
396,649,CC BY 4.0
397,650,CC BY 4.0
398,651,CC BY 4.0
399,652,CC BY 4.0
400,653,CC BY 4.0
401,654,CC0 1.0
402,655,CC0 1.0
403,656,CC0 1.0
404,657,CC0 1.0
405,658,CC0 1.0
406,659,CC0 1.0
407,660,CC0 1.0
408,661,CC0 1.0
409,662,CC0 1.0
410,662,https://creativecommons.org/licenses/by-nc-nd/4.0/
411,662,Creative Commons Frequently Asked Questions
412,663,CC0 1.0
413,663,https://creativecommons.org/licenses/by-nc-nd/4.0/
414,663,Creative Commons Frequently Asked Questions
415,664,CC BY 4.0
416,665,CC BY 4.0
417,666,CC BY 4.0
418,667,CC BY 4.0
419,668,CC BY 4.0
420,669,CC BY 4.0
421,670,CC0 1.0
422,671,CC0 1.0
423,672,CC0 1.0
424,673,CC0 1.0
425,674,CC0 1.0
426,675,CC0 1.0
427,676,CC0 1.0
428,677,CC0 1.0
429,678,CC0 1.0
430,679,CC0 1.0
431,680,CC0 1.0
432,681,CC0 1.0
433,682,CC0 1.0
434,683,CC BY 4.0
435,684,CC BY 4.0
436,685,CC BY 4.0
437,686,CC BY 4.0
438,687,CC BY 4.0
439,688,CC BY 4.0
440,689,CC BY 4.0
441,690,CC BY 4.0
442,691,CC BY 4.0
443,692,CC BY 4.0
444,693,CC BY 4.0
445,694,CC BY 4.0
446,695,CC BY 4.0
447,696,CC BY 4.0
448,697,CC BY 4.0
449,698,CC0 1.0
450,699,CC0 1.0
451,700,CC0 1.0
452,701,CC0 1.0
453,702,CC0 1.0
454,703,CC0 1.0
455,704,CC0 1.0
456,705,CC0 1.0
457,706,CC0 1.0
458,707,CC0 1.0
459,708,CC BY 4.0
460,709,CC BY 4.0
461,710,CC BY 4.0
462,711,CC BY 4.0
463,712,CC BY 4.0
464,713,CC BY 4.0
465,714,CC BY 4.0
466,715,CC BY 4.0
467,716,CC BY 4.0
468,717,CC0 1.0
469,718,CC0 1.0
470,719,CC0 1.0
471,720,CC0 1.0
472,721,CC0 1.0
473,722,CC0 1.0
474,723,CC0 1.0
475,724,CC0 1.0
476,725,CC0 1.0
477,726,CC0 1.0
478,727,CC0 1.0
479,728,CC0 1.0
480,729,CC0 1.0
481,730,CC0 1.0
482,731,CC0 1.0
483,732,CC BY 4.0
484,733,CC BY 4.0
485,734,CC BY 4.0
