id,project_id,keyword
357,129,Social Sciences
358,129,Other
359,129,Education
360,129,Science Education
361,129,Mathematics Education
362,129,Socioscientific issues
363,129,Argumentation
364,129,Dialogue
365,129,Classroom
366,129,Education Science Education Mathematics Education Socioscientific issues Argumentation Dialogue Classroom
367,130,Social Sciences
368,130,flipped classroom
369,130,active learning
370,130,meta-analysis
371,130,systematic review
372,130,flipped classroom active learning meta-analysis systematic review
373,131,Social Sciences
374,131,flipped classroom
375,131,active learning
376,131,meta-analysis
377,131,systematic review
378,131,flipped classroom active learning meta-analysis systematic review
379,132,Social Sciences
380,132,flipped classroom
381,132,active learning
382,132,meta-analysis
383,132,systematic review
384,132,flipped classroom active learning meta-analysis systematic review
385,133,Social Sciences
386,133,flipped classroom
387,133,active learning
388,133,meta-analysis
389,133,systematic review
390,133,flipped classroom active learning meta-analysis systematic review
391,134,Social Sciences
392,134,flipped classroom
393,134,active learning
394,134,meta-analysis
395,134,systematic review
396,134,flipped classroom active learning meta-analysis systematic review
397,135,Social Sciences
398,135,Psychology
399,135,Gender
400,135,Vocational Interest
401,135,Self-Efficacy
402,135,Social Belonging
403,135,Adolescents
404,135,Occupational segregation
405,135,Psychology Gender Vocational Interest Self-Efficacy Social Belonging Adolescents Occupational segregation
406,136,Social Sciences
407,136,Psychology
408,136,Gender
409,136,Vocational Interest
410,136,Self-Efficacy
411,136,Social Belonging
412,136,Adolescents
413,136,Occupational segregation
414,136,Psychology Gender Vocational Interest Self-Efficacy Social Belonging Adolescents Occupational segregation
415,137,Social Sciences
416,137,Psychology
417,137,Gender
418,137,Vocational Interest
419,137,Self-Efficacy
420,137,Social Belonging
421,137,Adolescents
422,137,Occupational segregation
423,137,Psychology Gender Vocational Interest Self-Efficacy Social Belonging Adolescents Occupational segregation
424,138,Social Sciences
425,138,Psychology
426,138,Gender
427,138,Vocational Interest
428,138,Self-Efficacy
429,138,Social Belonging
430,138,Adolescents
431,138,Occupational segregation
432,138,Psychology Gender Vocational Interest Self-Efficacy Social Belonging Adolescents Occupational segregation
433,139,Social Sciences
434,139,Psychology
435,139,Gender
436,139,Vocational Interest
437,139,Self-Efficacy
438,139,Social Belonging
439,139,Adolescents
440,139,Occupational segregation
441,139,Psychology Gender Vocational Interest Self-Efficacy Social Belonging Adolescents Occupational segregation
442,140,Social Sciences
443,140,Psychology
444,140,Gender
445,140,Vocational Interest
446,140,Self-Efficacy
447,140,Social Belonging
448,140,Adolescents
449,140,Occupational segregation
450,140,Psychology Gender Vocational Interest Self-Efficacy Social Belonging Adolescents Occupational segregation
451,141,Social Sciences
452,141,Psychology
453,141,Gender
454,141,Vocational Interest
455,141,Self-Efficacy
456,141,Social Belonging
457,141,Adolescents
458,141,Occupational segregation
459,141,Psychology Gender Vocational Interest Self-Efficacy Social Belonging Adolescents Occupational segregation
460,142,Medicine
461,142,Health and Life Sciences
462,142,Computer and Information Science
463,142,Other
464,142,Mobile apps
465,142,Evidence-based practice
466,142,Healthcare education
467,142,Mobile apps Evidence-based practice Healthcare education
468,143,Medicine
469,143,Health and Life Sciences
470,143,Computer and Information Science
471,143,Other
472,143,Mobile apps
473,143,Evidence-based practice
474,143,Healthcare education
475,143,Mobile apps Evidence-based practice Healthcare education
476,144,Medicine
477,144,Health and Life Sciences
478,144,Computer and Information Science
479,144,Other
480,144,Mobile apps
481,144,Evidence-based practice
482,144,Healthcare education
483,144,Mobile apps Evidence-based practice Healthcare education
484,145,Social Sciences
485,145,Higher education
486,145,Learning approaches
487,145,Educational dropout
488,145,Academic achievement
489,145,Procrastination
490,145,Higher education Learning approaches Educational dropout Academic achievement Procrastination
491,146,Social Sciences
492,146,Higher education
493,146,Learning approaches
494,146,Educational dropout
495,146,Academic achievement
496,146,Procrastination
497,146,Higher education Learning approaches Educational dropout Academic achievement Procrastination
498,147,Social Sciences
499,147,Higher education
500,147,Learning approaches
501,147,Educational dropout
502,147,Academic achievement
503,147,Procrastination
504,147,Higher education Learning approaches Educational dropout Academic achievement Procrastination
505,148,Social Sciences
506,148,Higher education
507,148,Learning approaches
508,148,Educational dropout
509,148,Academic achievement
510,148,Procrastination
511,148,Higher education Learning approaches Educational dropout Academic achievement Procrastination
512,149,Other
513,149,mental health nursing
514,149,virtual reality
515,149,learning
516,149,mental health nursing virtual reality learning
517,150,Other
518,150,mental health nursing
519,150,virtual reality
520,150,learning
521,150,mental health nursing virtual reality learning
522,151,Other
523,151,mental health nursing
524,151,virtual reality
525,151,learning
526,151,mental health nursing virtual reality learning
527,152,Other
528,152,mental health nursing
529,152,virtual reality
530,152,learning
531,152,mental health nursing virtual reality learning
532,153,Other
533,153,mental health nursing
534,153,virtual reality
535,153,learning
536,153,mental health nursing virtual reality learning
537,154,Social Sciences
538,154,Other
539,154,Science Education
540,154,Education
541,154,upper secondary school
542,154,Language
543,154,practical work
544,154,sense-making
545,154,læring
546,154,dialog
547,154,naturfag 11. trinn
548,154,praktisk arbeid
549,154,Education upper secondary school Language practical work sense-making læring dialog naturfag 11. trinn praktisk arbeid
550,155,Social Sciences
551,155,Other
552,155,Science Education
553,155,Education
554,155,upper secondary school
555,155,Language
556,155,practical work
557,155,sense-making
558,155,læring
559,155,dialog
560,155,naturfag 11. trinn
561,155,praktisk arbeid
562,155,Education upper secondary school Language practical work sense-making læring dialog naturfag 11. trinn praktisk arbeid
563,156,Social Sciences
564,156,Other
565,156,Science Education
566,156,Education
567,156,upper secondary school
568,156,Language
569,156,practical work
570,156,sense-making
571,156,læring
572,156,dialog
573,156,naturfag 11. trinn
574,156,praktisk arbeid
575,156,Education upper secondary school Language practical work sense-making læring dialog naturfag 11. trinn praktisk arbeid
576,157,Social Sciences
577,157,Other
578,157,Science Education
579,157,Education
580,157,upper secondary school
581,157,Language
582,157,practical work
583,157,sense-making
584,157,læring
585,157,dialog
586,157,naturfag 11. trinn
587,157,praktisk arbeid
588,157,Education upper secondary school Language practical work sense-making læring dialog naturfag 11. trinn praktisk arbeid
589,158,Social Sciences
590,158,Other
591,158,Science Education
592,158,Education
593,158,upper secondary school
594,158,Language
595,158,practical work
